##1 0 (1 39 1 5 0)##
        2899 Oct 14, 2001             2             4            18            27            37 
        2898 Oct 13, 2001             2            15            28            35            37 
        2897 Oct 12, 2001             4            25            26            31            39 
        2896 Oct 11, 2001             4            12            23            29            35 
        2895 Oct 10, 2001             1            14            23            25            27 
        2894 Oct 09, 2001             1            22            24            30            34 
        2893 Oct 08, 2001            16            26            31            35            36 
        2892 Oct 07, 2001             3            18            23            33            34 
        2891 Oct 06, 2001             8            11            17            20            24 
        2890 Oct 05, 2001             1             5            15            36            39 
        2889 Oct 04, 2001             3             9            22            25            29 
        2888 Oct 03, 2001             1            17            29            31            32 
        2887 Oct 02, 2001             6            16            24            31            38 
        2886 Oct 01, 2001             2             7            12            14            35 
        2885 Sep 30, 2001             1            16            33            35            39 
        2884 Sep 29, 2001            10            15            16            27            28 
        2883 Sep 28, 2001            17            18            25            33            37 
        2882 Sep 27, 2001            10            15            21            32            37 
        2881 Sep 26, 2001             2             7             8             9            38 
        2880 Sep 25, 2001             8            13            26            32            38 
        2879 Sep 24, 2001            10            12            23            31            38 
        2878 Sep 23, 2001             9            16            25            35            36 
        2877 Sep 22, 2001             1             5            23            34            39 
        2876 Sep 21, 2001             5             9            12            19            36 
        2875 Sep 20, 2001             3            20            24            27            31 
        2874 Sep 19, 2001             2            22            26            35            37 
        2873 Sep 18, 2001             2             9            17            25            27 
        2872 Sep 17, 2001            12            13            14            26            38 
        2871 Sep 16, 2001             1             8            25            27            34 
        2870 Sep 15, 2001            11            14            36            37            39 
        2869 Sep 14, 2001             2             9            18            31            33 
        2868 Sep 13, 2001             2             5             8            22            25 
        2867 Sep 12, 2001             2             7            19            32            33 
        2866 Sep 11, 2001             1            17            21            31            32 
        2865 Sep 10, 2001             2             6            14            29            36 
        2864 Sep 09, 2001             6             7            12            23            26 
        2863 Sep 08, 2001             3            13            20            27            31 
        2862 Sep 07, 2001             9            26            27            29            32 
        2861 Sep 06, 2001             7            11            18            24            34 
        2860 Sep 05, 2001             1            27            32            35            37 
        2859 Sep 04, 2001             3            12            17            18            28 
        2858 Sep 03, 2001             6            14            16            17            25 
        2857 Sep 02, 2001             4            19            29            32            36 
        2856 Sep 01, 2001            20            25            31            32            36 
        2855 Aug 31, 2001             9            16            22            34            37 
        2854 Aug 30, 2001             7            21            26            29            39 
        2853 Aug 29, 2001             1             8            16            18            33 
        2852 Aug 28, 2001             2             3            10            28            29 
        2851 Aug 27, 2001             2             4            15            35            37 
        2850 Aug 26, 2001             5             9            11            20            34 
        2849 Aug 25, 2001             1             4            12            21            37 
        2848 Aug 24, 2001             3            11            12            15            38 
        2847 Aug 23, 2001             9            10            14            17            25 
        2846 Aug 22, 2001             1             3            13            30            37 
        2845 Aug 21, 2001             6            10            19            28            38 
        2844 Aug 20, 2001             3             8            10            20            27 
        2843 Aug 19, 2001            10            23            31            34            36 
        2842 Aug 18, 2001             2            14            20            21            24 
        2841 Aug 17, 2001            14            17            18            25            28 
        2840 Aug 16, 2001             3            10            18            27            31 
        2839 Aug 15, 2001            10            15            26            28            32 
        2838 Aug 14, 2001            11            12            13            37            38 
        2837 Aug 13, 2001            19            20            24            30            34 
        2836 Aug 12, 2001             6             8            11            15            32 
        2835 Aug 11, 2001             1             3            34            36            38 
        2834 Aug 10, 2001             5            13            24            26            36 
        2833 Aug 09, 2001             3             4            11            27            38 
        2832 Aug 08, 2001             6            12            26            27            38 
        2831 Aug 07, 2001            10            14            20            23            32 
        2830 Aug 06, 2001             5             6            15            16            26 
        2829 Aug 05, 2001            10            14            19            24            31 
        2828 Aug 04, 2001             8             9            13            30            32 
        2827 Aug 03, 2001             1             4             7            11            17 
        2826 Aug 02, 2001             8            10            29            33            36 
        2825 Aug 01, 2001             6            11            19            26            29 
        2824 Jul 31, 2001             2             9            10            24            33 
        2823 Jul 30, 2001            10            12            17            24            36 
        2822 Jul 29, 2001             2            12            21            38            39 
        2821 Jul 28, 2001             5            11            13            21            26 
        2820 Jul 27, 2001             4            11            31            35            38 
        2819 Jul 26, 2001             8            16            17            22            31 
        2818 Jul 25, 2001             7            13            19            20            24 
        2817 Jul 24, 2001            15            19            29            33            37 
        2816 Jul 23, 2001            13            18            25            33            39 
        2815 Jul 22, 2001             3            12            26            30            32 
        2814 Jul 21, 2001             6            21            26            30            39 
        2813 Jul 20, 2001            20            30            32            35            37 
        2812 Jul 19, 2001             5            11            15            25            37 
        2811 Jul 18, 2001             2             6            15            23            28 
        2810 Jul 17, 2001             4            28            29            35            38 
        2809 Jul 16, 2001             4             5            21            23            34 
        2808 Jul 15, 2001             7            18            27            28            39 
        2807 Jul 14, 2001             5            19            20            31            38 
        2806 Jul 13, 2001            12            15            26            28            35 
        2805 Jul 12, 2001            17            27            28            37            39 
        2804 Jul 11, 2001             4             8            17            20            35 
        2803 Jul 10, 2001            26            28            30            33            39 
        2802 Jul 09, 2001             6             7            13            20            27 
        2801 Jul 08, 2001             1             4            14            26            29 
        2800 Jul 07, 2001             2             6            17            22            39 
        2799 Jul 06, 2001             5             7            18            32            36 
        2798 Jul 05, 2001             7            27            29            30            32 
        2797 Jul 04, 2001             2             3             9            18            28 
        2796 Jul 03, 2001             6            11            12            35            37 
        2795 Jul 02, 2001             2             3             7            14            23 
        2794 Jul 01, 2001             2            11            21            35            36 
        2793 Jun 30, 2001             1             7            18            31            38 
        2792 Jun 29, 2001             6            13            17            23            38 
        2791 Jun 28, 2001             8            11            18            36            37 
        2790 Jun 27, 2001            11            21            24            28            39 
        2789 Jun 26, 2001            20            25            28            33            34 
        2788 Jun 25, 2001            12            34            27            17             1 
        2787 Jun 24, 2001            18            19            28            30            34 
        2786 Jun 23, 2001             3            11            22            35            36 
        2785 Jun 22, 2001             3             8            15            23            28 
        2784 Jun 21, 2001             2            13            14            26            34 
        2783 Jun 20, 2001            18            20            21            30            36 
        2782 Jun 19, 2001            23            26            30            32            37 
        2781 Jun 18, 2001            12            25            28            29            31 
        2780 Jun 17, 2001            10            12            14            15            25 
        2779 Jun 16, 2001             8            17            28            30            35 
        2778 Jun 15, 2001             4             8            10            16            22 
        2777 Jun 14, 2001             2            19            29            38            39 
        2776 Jun 13, 2001             4             7             9            13            35 
        2775 Jun 12, 2001             1             7            16            20            32 
        2774 Jun 11, 2001             6             9            11            32            33 
        2773 Jun 10, 2001             2             5            11            18            27 
        2772 Jun 09, 2001             8            16            33            34            35 
        2771 Jun 08, 2001             6            23            25            32            33 
        2770 Jun 07, 2001            10            11            16            25            34 
        2769 Jun 06, 2001             2             3             9            14            23 
        2768 Jun 05, 2001             2            14            15            22            32 
        2767 Jun 04, 2001             2             4            29            32            37 
        2766 Jun 03, 2001            24            26            29            30            34 
        2765 Jun 02, 2001            20            27            28            29            37 
        2764 Jun 01, 2001             7             9            13            18            24 
        2763 May 31, 2001             5             6            15            33            34 
        2762 May 30, 2001             8            16            23            26            34 
        2761 May 29, 2001             3             9            26            33            38 
        2760 May 28, 2001             3             5            22            24            29 
        2759 May 27, 2001             9            22            23            26            32 
        2758 May 26, 2001             2            11            21            25            26 
        2757 May 25, 2001             5            13            24            28            38 
        2756 May 24, 2001             3             6             7            20            33 
        2755 May 23, 2001             6            19            22            36            39 
        2754 May 22, 2001             8            11            19            23            34 
        2753 May 21, 2001             5            10            14            19            37 
        2752 May 20, 2001             9            10            27            35            38 
        2751 May 19, 2001             8            13            18            34            35 
        2750 May 18, 2001             7            12            29            34            39 
        2749 May 17, 2001             6            14            26            30            32 
        2748 May 16, 2001             1            13            19            20            38 
        2747 May 15, 2001             3            15            16            24            29 
        2746 May 14, 2001             5             6            22            35            37 
        2745 May 13, 2001             2             3            12            21            22 
        2744 May 12, 2001             4             9            13            34            36 
        2743 May 11, 2001             4            12            19            34            39 
        2742 May 10, 2001            10            23            25            26            29 
        2741 May 09, 2001             5            13            21            24            36 
        2740 May 08, 2001             7            18            19            23            33 
        2739 May 07, 2001             3             5             7            24            35 
        2738 May 06, 2001             7            16            30            36            39 
        2737 May 05, 2001             1            10            13            22            36 
        2736 May 04, 2001            17            25            26            34            36 
        2735 May 03, 2001             9            15            16            17            37 
        2734 May 02, 2001             9            31            32            35            38 
        2733 May 01, 2001            14            16            17            20            25 
        2732 Apr 30, 2001            10            14            15            17            35 
        2731 Apr 29, 2001             3             9            12            26            32 
        2730 Apr 28, 2001             6            12            13            37            39 
        2729 Apr 27, 2001            11            17            27            32            34 
        2728 Apr 26, 2001            12            31            32            33            35 
        2727 Apr 25, 2001             7            10            15            28            33 
        2726 Apr 24, 2001             6            13            24            29            30 
        2725 Apr 23, 2001             2             4            16            26            28 
        2724 Apr 22, 2001             7            16            19            26            35 
        2723 Apr 21, 2001             2             9            11            22            26 
        2722 Apr 20, 2001            20            23            29            32            34 
        2721 Apr 19, 2001            11            18            20            38            39 
        2720 Apr 18, 2001             5            22            26            27            31 
        2719 Apr 17, 2001             2            14            16            28            29 
        2718 Apr 16, 2001            10            11            12            13            38 
        2717 Apr 15, 2001             1            12            13            23            31 
        2716 Apr 14, 2001             2             9            26            28            30 
        2715 Apr 13, 2001             1             9            12            13            31 
        2714 Apr 12, 2001             1             4            12            15            23 
        2713 Apr 11, 2001             9            22            24            26            29 
        2712 Apr 10, 2001             3            10            13            23            25 
        2711 Apr 09, 2001             1             7            19            23            39 
        2710 Apr 08, 2001            12            19            24            25            28 
        2709 Apr 07, 2001            13            17            24            33            35 
        2708 Apr 06, 2001             1            11            20            21            28 
        2707 Apr 05, 2001            17            19            27            29            32 
        2706 Apr 04, 2001            16            19            27            35            38 
        2705 Apr 03, 2001             2             4            10            14            25 
        2704 Apr 02, 2001             5            10            14            31            38 
        2703 Apr 01, 2001            12            13            19            24            32 
        2702 Mar 31, 2001             3             5            15            25            36 
        2701 Mar 30, 2001             2            20            24            35            37 
        2700 Mar 29, 2001             2             3             6             8            21 
        2699 Mar 28, 2001             6             9            11            24            33 
        2698 Mar 27, 2001             2            15            20            26            39 
        2697 Mar 26, 2001             3            18            22            34            36 
        2696 Mar 25, 2001             1             7             9            19            38 
        2695 Mar 24, 2001             7            19            21            27            35 
        2694 Mar 23, 2001            12            20            28            29            32 
        2693 Mar 22, 2001            10            24            32            33            35 
        2692 Mar 21, 2001             1             4             9            20            38 
        2691 Mar 20, 2001             2            24            26            28            32 
        2690 Mar 19, 2001            14            16            17            18            39 
        2689 Mar 18, 2001             1             8            18            27            31 
        2688 Mar 17, 2001             1             6            10            14            22 
        2687 Mar 16, 2001             2            19            21            35            37 
        2686 Mar 15, 2001             5            23            27            30            31 
        2685 Mar 14, 2001             3            21            25            35            37 
        2684 Mar 13, 2001             2             7            12            15            29 
        2683 Mar 12, 2001             9             7            10             4            17 
        2682 Mar 11, 2001             7            14            15            18            19 
        2681 Mar 10, 2001             6            15            25            27            36 
        2680 Mar 09, 2001             1            10            26            33            34 
        2679 Mar 08, 2001             1             6            15            23            24 
        2678 Mar 07, 2001             3             4            26            29            31 
        2677 Mar 06, 2001            15            30            34            36            39 
        2676 Mar 05, 2001             9            15            21            24            29 
        2675 Mar 04, 2001             5             7            20            35            36 
        2674 Mar 03, 2001             2             3             6            22            33 
        2673 Mar 02, 2001            14            16            29            30            37 
        2672 Mar 01, 2001             6             8            11            13            39 
        2671 Feb 28, 2001             4            10            15            18            24 
        2670 Feb 27, 2001            26            31            33            34            37 
        2669 Feb 26, 2001             4             6            18            20            21 
        2668 Feb 25, 2001            10            11            18            30            37 
        2667 Feb 24, 2001             4             9            12            17            27 
        2666 Feb 23, 2001             7            22            23            27            33 
        2665 Feb 22, 2001             9            10            20            35            39 
        2664 Feb 21, 2001             1             4             6             8            26 
        2663 Feb 20, 2001             3             9            28            34            38 
        2662 Feb 19, 2001             8            15            25            35            39 
        2661 Feb 18, 2001             9            17            18            23            39 
        2660 Feb 17, 2001             1             2            19            31            32 
        2659 Feb 16, 2001             4            10            14            21            33 
        2658 Feb 15, 2001             2             6             9            32            35 
        2657 Feb 14, 2001             1             7            19            24            37 
        2656 Feb 13, 2001            16            18            19            32            34 
        2655 Feb 12, 2001            10            16            23            30            32 
        2654 Feb 11, 2001             3            10            15            35            36 
        2653 Feb 10, 2001             1             3             5            12            13 
        2652 Feb 09, 2001             3            11            14            36            37 
        2651 Feb 08, 2001             2            22            24            35            37 
        2650 Feb 07, 2001             3             6            10            20            22 
        2649 Feb 06, 2001             1            11            20            22            23 
        2648 Feb 05, 2001             6             8            17            32            37 
        2647 Feb 04, 2001             5            18            34            35            39 
        2646 Feb 03, 2001             2            13            14            28            34 
        2645 Feb 02, 2001             2             9            11            30            31 
        2644 Feb 01, 2001            13            27            28            33            36 
        2643 Jan 31, 2001             2            12            14            25            32 
        2642 Jan 30, 2001             3             7            17            19            39 
        2641 Jan 29, 2001             3            31            33            34            36 
        2640 Jan 28, 2001             7             8            10            16            35 
        2639 Jan 27, 2001             1             5            20            21            34 
        2638 Jan 26, 2001             5             6            10            33            35 
        2637 Jan 25, 2001             3            11            24            33            37 
        2636 Jan 24, 2001             7             8            20            24            26 
        2635 Jan 23, 2001             1            10            21            25            28 
        2634 Jan 22, 2001             2             5             6             7             9 
        2633 Jan 21, 2001             5             9            29            34            36 
        2632 Jan 20, 2001             8            14            22            31            39 
        2631 Jan 19, 2001             4            15            23            32            39 
        2630 Jan 18, 2001             2             5            15            21            26 
        2629 Jan 17, 2001             6            10            24            36            37 
        2628 Jan 16, 2001             5            10            21            24            29 
        2627 Jan 15, 2001             2             3             8            12            25 
        2626 Jan 14, 2001             3            14            23            27            28 
        2625 Jan 13, 2001             4             7            20            21            25 
        2624 Jan 12, 2001             1             6            20            27            33 
        2623 Jan 11, 2001             1            12            15            21            36 
        2622 Jan 10, 2001            20            22            26            36            37 
        2621 Jan 09, 2001             3             6            24            26            32 
        2620 Jan 08, 2001             5             9            18            38            39 
        2619 Jan 07, 2001             9            11            15            20            26 
        2618 Jan 06, 2001             4             7            12            21            25 
        2617 Jan 05, 2001            19            22            27            28            39 
        2616 Jan 04, 2001             1             6            22            29            33 
